Name,Team,Position,Passing Completions,Passing Attempts,Passing Yards,Passing TDs,Passing INTs,Rushing Attemps,Rushing Yards,Rushing TDs,Receptions,Receving Yards,Receiving TDs,Targets,2PCs,Fumbles,Other TDs,Total Points
Danny Woodhead,Bal,RB,0,0,0,0,0,19,116,0,6,35,1,8,0,0,0,27.1
Jaelen Strong,Hou,WR,0,0,0,0,0,0,0,0,14,131,0,24,0,0,0,27.1
Ameer Abdullah,Det,RB,0,0,0,0,0,18,101,0,5,57,1,5,0,0,0,26.8
Orleans Darkwa,NYG,RB,0,0,0,0,0,30,111,2,2,12,0,4,0,0,0,26.3
Chris Harper,NYJ,WR,0,0,0,0,0,0,0,0,13,133,0,20,0,0,0,26.3
Stephen Anderson,Hou,TE,0,0,0,0,0,0,0,0,11,93,1,16,0,0,0,26.3
Cecil Shorts III,TB,WR,0,0,0,0,0,0,0,0,11,152,0,27,0,0,0,26.2
Chris Moore,Bal,WR,0,0,0,0,0,3,19,0,7,46,0,16,0,0,2,25.5
Tyler Higbee,LAR,TE,0,0,0,0,0,0,0,0,11,85,1,28,0,0,0,25.5
Brandon Tate,Buf,WR,0,0,0,0,0,3,48,0,8,117,0,11,0,0,0,24.5
Reggie Bush,Buf,RB,0,0,0,0,0,12,-3,1,7,90,0,10,1,0,0,23.7
Jarius Wright,Min,WR,0,0,0,0,0,0,0,0,11,67,1,14,0,0,0,23.7
John Phillips,NO,TE,0,0,0,0,0,0,0,0,10,72,1,14,0,0,0,23.2
Ka'Deem Carey,Chi,RB,0,0,0,0,0,32,126,0,5,55,0,7,0,0,0,23.1
Jeff Heuerman,Den,TE,0,0,0,0,0,0,0,0,9,141,0,17,0,0,0,23.1
James Wright,Cle,WR,0,0,0,0,0,2,-6,0,13,106,0,19,0,0,0,23.0
Neal Sterling,Jax,TE,0,0,0,0,0,0,0,0,12,110,0,16,0,0,0,23.0
Arrelious Benn,Jax,WR,0,0,0,0,0,0,0,0,5,116,1,10,0,0,0,22.6
Pharoh Cooper,LAR,WR,0,1,0,0,1,0,0,0,14,106,0,20,0,0,0,22.6
Nick O'Leary,Buf,TE,0,0,0,0,0,0,0,0,9,114,0,14,1,0,0,22.4
Paul Turner,Phi,WR,0,0,0,0,0,0,0,0,9,126,0,14,0,0,0,21.6
Crockett Gillmore,Bal,TE,0,0,0,0,0,0,0,0,8,71,1,14,0,0,0,21.1
Brandon Myers,TB,TE,0,0,0,0,0,0,0,0,7,59,1,14,1,0,0,20.9
Rhett Ellison,NYG,TE,0,0,0,0,0,1,1,1,9,57,0,15,0,0,0,20.8
Brittan Golden,Ari,WR,0,0,0,0,0,0,0,0,8,82,1,14,0,1,0,20.2
Jordan Cameron,Mia,TE,0,0,0,0,0,0,0,0,8,60,1,11,0,0,0,20.0
Denard Robinson,Jax,RB,0,0,0,0,0,41,144,0,3,22,0,5,0,0,0,19.6
Arian Foster,Mia,RB,0,0,0,0,0,22,55,0,6,78,0,10,0,0,0,19.3
Tyler Kroft,Cin,TE,0,0,0,0,0,0,0,0,10,92,0,12,0,0,0,19.2
Dominique Jones,Mia,TE,0,0,0,0,0,0,0,0,7,61,1,10,0,0,0,19.1
Greg Salas,Buf,WR,0,0,0,0,0,0,0,0,4,89,1,6,0,0,0,18.9
C.J. Spiller,KC,RB,0,0,0,0,0,6,18,0,6,50,1,12,0,0,0,18.8
Andy Janovich,Den,RB,0,0,0,0,0,4,33,1,5,44,0,7,0,0,0,18.7
Patrick DiMarco,Buf,RB,0,0,0,0,0,0,0,0,7,52,1,10,0,0,0,18.2
Tom Savage,Hou,QB,46,73,461,0,0,6,12,0,0,0,0,0,0,1,0,17.6
Terron Ward,Atl,RB,0,0,0,0,0,31,151,0,1,11,0,2,0,0,0,17.2
Markus Wheaton,Chi,WR,0,0,0,0,0,0,0,0,4,51,1,9,1,0,0,17.1
David Johnson,Pit,TE,0,0,0,0,0,0,0,0,7,80,0,11,1,0,0,17.0
Keith Mumphery,Hou,WR,0,0,0,0,0,0,0,0,10,69,0,12,0,0,0,16.9
Akeem Hunt,Hou,RB,0,0,0,0,0,20,109,0,3,29,0,4,0,0,0,16.8
Kevin Hogan,Cle,QB,14,26,104,0,2,8,105,1,0,0,0,0,0,0,0,16.7
Ryan Grant,Wsh,WR,0,0,0,0,0,0,0,0,9,76,0,19,0,0,0,16.6
